2.146805	11.221146	fade in
31.311891	36.808456	fade out
38.537712	46.628161	fade in
75.469686	79.607549	fade out
80.842732	86.956888	fade in
118.886371	123.209512	fade out
123.454773	128.110580	fade in
164.956179	168.499872	fade out
168.596268	172.759649	fade in
207.553945	212.401277	fade out
212.548166	218.166664	fade in
248.297240	251.859294	fade out
251.987822	257.128932	fade in
288.232646	291.390756	fade out
291.537645	296.127922	fade in
358.482238	364.192542	fade out
364.302709	369.755958	fade in
400.308838	404.091226	fade out
404.284018	408.314281	fade in
432.550941	436.480218	fade out
436.627107	441.860022	fade in
472.945375	475.626096	fade out
475.791346	480.583595	fade in
529.387415	531.811081	fade out
531.921248	537.576469	fade in
567.468350	571.489432	fade out
571.636321	571.636321	fade in
600.371452	604.741395	fade out
605.090256	610.414977	fade in
634.816888	641.059664	fade out
